column,lo,hi
temp_mean,10.8,37.1
temp_max,16.4,43.1
temp_min,6.6,30.6
humidity_mean,11.0,94.0
wind_speed_mean,2.2,15.9
precipitation,0.0,41.5
pressure_mean,971.7,996.9
wind_gusts_mean,7.4,31.9
blh_max,480.0,5135.0
radiation_sum,1364.0,7020.935000000006
dewpoint_mean,-2.4125,26.108333333333334
ventilation_proxy,1947.0,42350.0
ventilation,1947.0,42350.0
o3_driver,24927.499999999996,288501.2
local_fire_count,0.0,1.0
local_total_frp,0.0,1.146900000000005
local_max_frp,0.0,0.8403500000000076
regional_fire_count,0.0,2278.0
regional_total_frp,0.0,14984.35
regional_max_frp,0.0,161.94
regional_fire_count_lag1,0.0,2278.0
regional_fire_count_lag2,0.0,2278.0
regional_total_frp_lag1,0.0,14984.35
regional_total_frp_lag3,0.0,14984.35
regional_fire_count_roll3,0.0,2157.6666666666665
regional_fire_count_roll7,0.8571428571428571,1976.7142857142858
regional_total_frp_roll3,0.0,14015.953333333333
regional_total_frp_roll7,1.1742857142854544,12387.084285714287
fire_wind_interaction,0.0,14984.35
