target,horizon_h,w_tft,w_xgb,w_lgbm,bias,val_rmse,n,gated
no,1,0.0,0.0,1.0,-1.2263052070932663,11.148744465960366,1377,False
no,2,0.34,0.33,0.33,-1.1716753157123894,13.133201916626696,1377,False
no,3,0.34,0.33,0.33,-1.2831944742891963,13.118462155839143,1377,False
no2,1,0.34,0.33,0.33,-0.2813749232041166,9.474006055908516,1437,False
no2,2,1.0,0.0,0.0,-0.2874583800452331,10.05408729733214,1437,False
no2,3,1.0,0.0,0.0,-0.3059571942414753,9.979005529136241,1437,False
nox,1,0.34,0.33,0.33,-1.5001242201741058,17.303561654991533,1377,False
nox,2,0.6,0.25,0.15,-0.6278090365021781,18.277960419699667,1377,False
nox,3,0.6,0.25,0.15,-0.7357133707821459,17.86921716740936,1377,False
o3,1,0.6,0.25,0.15,-0.4758168426399999,12.137936533362092,1437,False
o3,2,1.0,0.0,0.0,-0.1492847772442589,12.327841152899385,1437,False
o3,3,1.0,0.0,0.0,-0.14738090789839947,12.29778263300404,1437,False
pm10,1,0.6,0.25,0.15,-1.8680066408725187,47.466178697673364,1497,False
pm10,2,0.6,0.25,0.15,-1.8267555670804057,47.63092202045085,1497,False
pm10,3,0.6,0.25,0.15,-1.7831936784619622,49.74528020981398,1497,False
pm25,1,0.5,0.3,0.2,-1.879305619450638,22.95749770189929,1497,False
pm25,2,0.6,0.25,0.15,-1.5171775734369566,23.182482520204427,1497,False
pm25,3,0.6,0.25,0.15,-1.5044424260004683,23.510550559317455,1497,False
